postcode,tax individuals,avg tax income,avg gross tax paid,avg net tax paid,avg salary,no pensions,avg pension,avg income,no donations,value donations,avg donation value
2600,4669,113200.6066,32376.16217,32610.47184,94607.41411,77,6542.883117,118145.3176,2370,2524687,1065.268776
2601,1935,92216.01757,24469.62326,24837.88527,84282.28005,10,6287.5,95743.63669,817,993880,1216.499388
2602,15338,82024.79866,19697.63425,20016.2501,78146.51901,418,6464.349282,84724.12616,8220,6739734,819.9189781
2603,5224,135922.0293,42405.79678,43188.62462,92952.80944,68,8493.073529,141020.2701,2564,3229730,1259.645086
2604,6102,94881.539,24724.94819,25297.039,91289.69349,85,6301.611765,98275.21796,2968,2378078,801.2392183
2605,6024,93894.30893,24361.32603,24412.86421,87219.57736,211,5892.962085,97398.2676,3386,3396913,1003.222977
2606,4813,81032.10576,19462.39269,19641.06462,75272.4869,170,6659.547059,83987.81695,2247,1584945,705.3604806
2607,7372,84588.9844,20803.93257,20758.07393,79833.36096,284,5995.760563,87655.31782,3983,2894130,726.6206377
2609,478,80046.10042,20085.04393,20693.40167,61464.36049,14,6417.428571,82946.82008,168,97543,580.6130952
2611,12527,80074.76179,18832.92623,18868.37032,77961.95742,513,5824.88694,82845.19845,6951,4569598,657.401525
2612,7776,83708.72994,20464.56149,20796.07433,77090.33086,78,7267.871795,86744.38194,3807,3588317,942.5576569
2614,9682,81028.00207,19419.9025,19406.60576,76273.48551,379,6136.738786,83823.70471,5347,4062407,759.7544417
2615,22163,68758.09665,14603.1713,14856.38217,67948.03413,624,6199.554487,71036.80012,11301,4838621,428.1586585
2617,15758,72293.6813,16045.7596,16206.8713,69729.29973,360,6035.133333,74834.98445,7593,4247021,559.3337284
2618,642,95898.87539,26027.93614,26391.92056,74223.60663,14,6323.785714,99913.37072,279,166129,595.4444444
2900,989,71067.50051,15385.66127,15590.19919,70579.59538,37,7532.081081,73372.50455,474,206886,436.4683544
2902,7855,72103.55544,15862.99529,15871.82482,71111.76547,223,6594.959641,74630.00267,4268,2077978,486.8739456
2903,4910,71444.43267,15615.90774,15711.81711,69927.68713,143,5769.566434,74053.32749,2655,1337784,503.8734463
2904,7234,76430.54216,17476.31905,17606.89867,73689.89863,198,6508.191919,79116.77564,3860,1739215,450.5738342
2905,15032,69496.37713,14856.63179,15266.12633,68204.34468,265,6239.286792,71756.7174,7555,2720732,360.123362
2906,9273,70034.60369,15017.86153,15521.4457,70240.52336,165,6138.272727,72279.21999,4762,1670807,350.8624528
2911,1901,76731.89637,17423.85692,18050.75539,77436.5903,13,6456.769231,79341.00526,828,281752,340.2801932
2912,3070,69277.47199,14837.50423,15382.41759,69970.67711,35,6670.342857,71483.06938,1288,496065,385.1436335
2913,15841,74885.21571,16878.70924,17359.30882,73392.75234,249,6907.104418,77447.23718,7537,2951618,391.617089
2914,10761,75543.62057,16983.56581,17689.66667,76279.40424,108,6622.611111,78055.21336,4911,1739776,354.2610466
2000,16770,86644.86732,24659.51217,25191.05838,68324.53158,33,11179.27273,90029.27358,3542,7770801,2193.902033
2006,72,95284.18056,25138.58333,25933.55556,93459.04688,1,6640,99106.88889,31,28418,916.7096774
2007,3126,66089.59117,14423.00256,14893.98017,63406.80715,11,6837.090909,68641.78439,976,404705,414.6567623
2008,3778,69572.54394,15560.21641,16122.42747,65432.7524,12,7560.666667,72288.16173,1345,902594,671.0736059
2009,7352,108162.7149,31375.01701,32322.98517,89710.27598,33,7348.393939,113940.065,2644,2614768,988.9440242
2010,15678,93319.31069,24859.08531,25754.20411,83607.30431,57,9314.035088,97212.71674,5886,5075847,862.3593272
2011,11350,106234.2958,30327.99718,31234.8148,87041.84259,81,10881.37037,111004.6112,4524,6910474,1527.514147
2015,6004,81095.37875,19394.31099,20222.3561,78642.97207,33,7631.545455,84749.62658,2652,1307573,493.0516591
2016,6401,79465.95438,19138.20623,19846.53773,73037.29836,32,9126.09375,82890.14904,2523,1480610,586.8450258
2017,8534,73606.7865,16627.23564,17355.39173,72972.70994,51,9461.470588,77156.78509,3275,1267012,386.8738931
2018,6439,64750.03044,13555.18729,14048.63488,64027.76782,76,8619.092105,67812.56919,2681,1146693,427.7109288
2019,4713,70819.76172,15641.17537,16165.77382,69395.84363,68,8606.485294,74286.23297,2215,841597,379.9534989
2020,6455,65553.16964,13677.08273,14168.71867,65175.9019,54,8978.444444,68660.91619,2852,1118458,392.1661992
2021,8754,133380.3048,41884.57079,43045.19351,104154.457,59,8326.694915,139050.2839,3732,5641770,1511.728296
2022,7010,97381.28031,27034.06876,27815.67361,85788.51544,59,9327.271186,101789.9633,2798,2918043,1042.903145
2023,5780,188492.0028,66074.15908,67755.50969,114546.9671,40,10306.375,198061.6291,2600,13131392,5050.535385
2024,5898,135745.011,43102.36341,44365.46321,103617.1062,60,9105.383333,141632.4975,2559,5123877,2002.2966
2025,4188,161282.7624,53976.44949,54789.36103,110457.3118,40,9294.275,169595.7956,1844,5643280,3060.347072
2026,18506,104357.2573,29755.71009,30730.53712,86948.96874,147,7667.482993,109373.6519,7277,16374751,2250.206266
2027,4919,244900.9124,91110.85093,92997.55397,118233.818,48,9478.208333,261782.319,2285,34674190,15174.70022
2028,2751,158712.7739,53139.1797,54433.03453,97276.20244,20,12270.25,166800.9004,1161,4038910,3478.819983
2029,5355,127327.5729,39227.66006,40430.40037,91001.05135,48,8534.854167,133893.0398,2333,5488566,2352.578654
2030,7598,196079.4934,69523.37261,71296.0483,118461.86,71,9514.492958,208121.9458,3264,32226763,9873.395527
2031,18415,100075.3147,27602.62225,28520.17649,85873.60032,196,8701.94898,104414.0139,8321,6233966,749.1847134
2032,6013,75324.9832,17843.26297,18386.50258,69519.9726,78,8884.115385,78454.43922,2466,1347065,546.2550689
2033,5287,88450.01986,23072.64724,23795.24418,75327.22872,38,8120.526316,92261.16645,2171,1570133,723.2303086
2034,11402,99799.08007,27464.99526,28279.81293,86597.58092,85,9255.152941,104271.5657,4982,3499917,702.5124448
