postcode,tax individuals,no pensions,avg pension,avg income,no donations,value donations,avg donation value
2600,4669,77,6542.883117,118145.3176,2370,2524687,1065.268776
2601,1935,10,6287.5,95743.63669,817,993880,1216.499388
2602,15338,418,6464.349282,84724.12616,8220,6739734,819.9189781
2603,5224,68,8493.073529,141020.2701,2564,3229730,1259.645086
2604,6102,85,6301.611765,98275.21796,2968,2378078,801.2392183
2605,6024,211,5892.962085,97398.2676,3386,3396913,1003.222977
2606,4813,170,6659.547059,83987.81695,2247,1584945,705.3604806
2607,7372,284,5995.760563,87655.31782,3983,2894130,726.6206377
2609,478,14,6417.428571,82946.82008,168,97543,580.6130952
2611,12527,513,5824.88694,82845.19845,6951,4569598,657.401525
2612,7776,78,7267.871795,86744.38194,3807,3588317,942.5576569
2614,9682,379,6136.738786,83823.70471,5347,4062407,759.7544417
2615,22163,624,6199.554487,71036.80012,11301,4838621,428.1586585
2617,15758,360,6035.133333,74834.98445,7593,4247021,559.3337284
2618,642,14,6323.785714,99913.37072,279,166129,595.4444444
2900,989,37,7532.081081,73372.50455,474,206886,436.4683544
2902,7855,223,6594.959641,74630.00267,4268,2077978,486.8739456
2903,4910,143,5769.566434,74053.32749,2655,1337784,503.8734463
2904,7234,198,6508.191919,79116.77564,3860,1739215,450.5738342
2905,15032,265,6239.286792,71756.7174,7555,2720732,360.123362
2906,9273,165,6138.272727,72279.21999,4762,1670807,350.8624528
2911,1901,13,6456.769231,79341.00526,828,281752,340.2801932
2912,3070,35,6670.342857,71483.06938,1288,496065,385.1436335
2913,15841,249,6907.104418,77447.23718,7537,2951618,391.617089
2914,10761,108,6622.611111,78055.21336,4911,1739776,354.2610466
2000,16770,33,11179.27273,90029.27358,3542,7770801,2193.902033
2006,72,1,6640,99106.88889,31,28418,916.7096774
2007,3126,11,6837.090909,68641.78439,976,404705,414.6567623
2008,3778,12,7560.666667,72288.16173,1345,902594,671.0736059
2009,7352,33,7348.393939,113940.065,2644,2614768,988.9440242
2010,15678,57,9314.035088,97212.71674,5886,5075847,862.3593272
2011,11350,81,10881.37037,111004.6112,4524,6910474,1527.514147
2015,6004,33,7631.545455,84749.62658,2652,1307573,493.0516591
2016,6401,32,9126.09375,82890.14904,2523,1480610,586.8450258
2017,8534,51,9461.470588,77156.78509,3275,1267012,386.8738931
2018,6439,76,8619.092105,67812.56919,2681,1146693,427.7109288
2019,4713,68,8606.485294,74286.23297,2215,841597,379.9534989
2020,6455,54,8978.444444,68660.91619,2852,1118458,392.1661992
2021,8754,59,8326.694915,139050.2839,3732,5641770,1511.728296
2022,7010,59,9327.271186,101789.9633,2798,2918043,1042.903145
2023,5780,40,10306.375,198061.6291,2600,13131392,5050.535385
2024,5898,60,9105.383333,141632.4975,2559,5123877,2002.2966
2025,4188,40,9294.275,169595.7956,1844,5643280,3060.347072
2026,18506,147,7667.482993,109373.6519,7277,16374751,2250.206266
2027,4919,48,9478.208333,261782.319,2285,34674190,15174.70022
2028,2751,20,12270.25,166800.9004,1161,4038910,3478.819983
2029,5355,48,8534.854167,133893.0398,2333,5488566,2352.578654
2030,7598,71,9514.492958,208121.9458,3264,32226763,9873.395527
2031,18415,196,8701.94898,104414.0139,8321,6233966,749.1847134
2032,6013,78,8884.115385,78454.43922,2466,1347065,546.2550689
2033,5287,38,8120.526316,92261.16645,2171,1570133,723.2303086
2034,11402,85,9255.152941,104271.5657,4982,3499917,702.5124448
2035,15850,229,8828.174672,86359.10618,6775,4060633,599.3554244
2036,12225,208,8053.475962,76822.97497,5407,2414097,446.4762345
2037,6931,47,7749.723404,94803.38176,2846,2934764,1031.189037
2038,4876,41,8550.439024,104890.2859,2336,1701364,728.3236301
2039,4617,33,9399.090909,114993.3892,2224,1729567,777.6830036
2040,10664,101,7984.019802,96842.71371,5077,3006103,592.1022257
2041,8767,61,8306.04918,148065.1286,4328,21057727,4865.463725
2042,10188,59,7139.79661,81014.12318,4537,2603976,573.9422526
2043,4360,19,8430.631579,90247.01881,2039,1053290,516.5718489
2044,4026,37,8091.081081,71700.97839,1860,690917,371.4607527
2045,3217,45,8620.555556,116014.9711,1564,1074867,687.2551151
2046,12822,171,9213.48538,95177.90134,6178,3700533,598.985594
2047,6148,69,8670.536232,114190.0952,3002,3272446,1090.088608
2048,4021,28,8410.25,87112.8953,1871,1110881,593.7365045
2049,5356,43,8017.627907,84056.81479,2532,3248593,1283.014613
2050,4262,20,9523.1,91235.77358,1865,1178814,632.0718499
2052,54,0,0,77795.31481,16,10043,627.6875
2060,8217,67,9903.686567,122098.6075,3483,28347620,8138.851565
2061,3471,20,7128.15,146422.244,1507,7286640,4835.195753
2062,3900,30,8063.333333,119401.7336,1836,1575984,858.379085
2063,3220,37,8216.675676,201243.3075,1578,3098288,1963.427123
2064,4761,50,8521.54,100759.7045,2064,2118873,1026.585756
2065,16794,128,8464.5625,113120.3331,7449,7116157,955.3170895
2066,14525,184,8581.391304,122171.5258,6859,8495222,1238.551101
2067,11278,139,9041.892086,91067.54993,4160,5532331,1329.88726
2068,8067,78,8546.064103,144890.8878,3924,4174812,1063.917431
2069,6904,70,8524.114286,158819.9855,3278,7266377,2216.710494
2070,6307,69,9332.15942,144393.7967,3046,10204131,3350.010177
2071,6228,68,9418.441176,145741.1811,2788,7788478,2793.571736
2072,3481,37,9530.675676,126489.1505,1520,2388176,1571.168421
2073,7759,93,8289.784946,131699.6578,3630,4716632,1299.347658
2074,10468,213,8656.014085,128634.704,5090,6277567,1233.313752
2075,9370,168,8271.660714,123708.1303,4264,5870131,1376.672373
2076,11176,196,9111.688776,123595.6771,5224,10370463,1985.157542
2077,16315,249,8082.425703,73787.18167,6719,4342579,646.3132907
2079,3443,53,6825.867925,78064.3738,1589,1202943,757.0440529
2080,776,11,9833.272727,87516.00515,364,202078,555.1593407
2081,2517,38,7387.868421,79110.19348,1140,524515,460.1008772
2082,2497,41,7134.731707,76506.31358,1142,555081,486.0604203
2083,677,12,10593.16667,76698.06204,284,128215,451.4612676
2084,1798,24,8395.5,121955.1029,729,4870463,6681.019204
2085,5109,134,7792.440299,95827.47035,2381,3462597,1454.261655
2086,6092,101,8406.366337,94115.58437,2790,1433064,513.6430108
2087,5486,105,9324.361905,101830.9107,2713,1795776,661.915223
2088,15444,162,10066.8642,210337.183,7259,26253727,3616.71401
2089,7193,74,8603.283784,119400.1257,3190,3760818,1178.939812
2090,7338,78,8539.974359,134263.8359,3350,5994050,1789.268657
2092,3392,28,5653,158155.9145,1463,1840219,1257.839371
2093,11108,144,8147.159722,120477.5771,4915,6597219,1342.262258
2094,3256,39,9411,117115.9152,1462,1210825,828.1976744
2095,9341,92,8796.869565,130193.5595,3688,26431542,7166.904013
2096,7987,83,8239.771084,120095.0845,3316,1910434,576.1260555
2097,7496,109,8623.275229,99767.3123,2994,2070349,691.499332
2099,19419,324,7616.67284,78251.22576,7275,3952600,543.3127148
2100,10120,172,7543.052326,84207.31472,4113,2136166,519.3693168
2101,9254,182,9069.340659,86937.62708,3637,2479561,681.759967
2102,3261,72,8030.819444,88948.44312,1290,1823090,1413.248062
2103,5315,100,7756.85,88979.15071,2123,1355248,638.3645784
2104,1706,54,9370.444444,132628.6166,665,1179289,1773.366917
2105,983,12,12797.91667,128317.8484,367,386979,1054.438692
2106,4829,73,7218.260274,105531.6422,1803,4011533,2224.921242
2107,7188,110,8483.218182,106193.4225,2612,2952876,1130.503828
2108,927,4,6259.25,185648.8198,377,3237897,8588.586207
2110,4747,62,9917.790323,199694.5452,2192,25541811,11652.28604
2111,6812,74,8702.743243,103435.0169,3202,2792631,872.1520924
2112,13394,186,8638.741935,79701.2354,5882,3603447,612.6227474
2113,8637,113,8140.424779,80683.9604,3806,2146774,564.0499212
2114,10409,117,8372.290598,74365.45682,4389,2451248,558.4980633
2115,4010,58,6686.103448,68403.75611,1701,638701,375.4855967
2116,2530,31,8722.290323,67056.00435,1100,434527,395.0245455
2117,8136,113,7924.40708,71197.37844,3310,1918173,579.5084592
2118,9667,155,8012.077419,74641.77377,4055,2353718,580.4483354
2119,5394,63,7665.349206,112181.7154,2597,4221049,1625.355795
2120,9446,138,7435.913043,86551.74307,4500,3400659,755.702
2121,12220,156,8199.653846,85916.57267,5367,5162836,961.9593814
2122,13153,200,8447.575,74946.88352,5509,3655811,663.6070067
2125,8128,93,6631.247312,104864.6451,3713,3443769,927.489631
2126,8655,119,7069.94958,89092.26308,4091,2638412,644.9308238
2127,5546,32,6745.09375,79355.25194,2249,1192622,530.2899066
2128,817,6,8647.833333,62740.16279,259,133279,514.5907336
2130,3654,35,9772.828571,82036.5873,1708,870153,509.45726
2131,10255,103,9086.902913,67744.44076,3962,2158573,544.8190308
2132,4545,58,9316.62069,78012.26007,2095,1191052,568.5212411
2133,4568,59,8183.016949,69471.20096,2030,943703,464.8783251
2134,5897,54,9595.851852,68367.50941,1872,1012021,540.6095085
2135,11449,93,9121.516129,88239.14596,3715,3872547,1042.408345
2136,3325,43,8771.511628,72948.76481,1457,708468,486.2512011
2137,12225,139,8150.899281,93390.8944,5271,3225545,611.9417568
2138,7857,43,8464.488372,78507.91409,3011,1570385,521.5493192
2140,6155,32,8557.875,64483.38327,2043,973200,476.3582966
2141,10487,99,8158.343434,59060.06618,3773,1544850,409.4487146
