suburb,state,postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,dob,age,gender,weekends,profitable
Darwin,NT,801,2,Renewals,315,0,315,10/10/1943,72,0,4,1
DARWIN,NT,801,6,Acq,303.55,0,303.55,1/01/1950,65,0,4,1
PARAP,NT,804,4,Renewals,250,0,250,8/02/1935,80,0,4,1
PARAP,NT,804,2,Renewals,28.6,50,78.6,3/10/1958,57,0,4,1
PARAP,NT,804,2,Renewals,78,0,78,na,,1,4,1
NAKARA,NT,810,2,Acq,521.5,0,521.5,1/01/1948,67,1,4,1
ALAWA,NT,810,2,Acq,250,0,250,16/11/1958,57,1,4,1
ALAWA,NT,810,3,Acq,200,0,200,na,,1,4,1
JINGILI,NT,810,4,Renewals,200,0,200,23/08/1962,53,1,4,1
WAGAMAN,NT,810,2,Renewals,200,0,200,na,,0,4,1
Nakara,NT,810,2,Acq,170,0,170,na,,0,4,1
MOIL,NT,810,2,Acq,140,0,140,20/02/1956,59,0,4,1
TIWI,NT,810,2,Renewals,140,0,140,2/09/1941,74,0,4,1
Nightcliff,NT,810,3,Renewals,135.45,0,135.45,31/10/1957,58,1,4,1
Nakara,NT,810,2,Acq,114.2,20,134.2,1/01/1960,55,0,4,1
WANGURI,NT,810,2,Acq,126,0,126,1/01/1969,46,1,4,1
BRINKIN,NT,810,2,Acq,123,0,123,na,,1,4,1
NIGHTCLIFF,NT,810,2,Acq,120,0,120,2/10/1990,25,0,4,1
NIGHTCLIFF,NT,810,2,Renewals,39.75,80.25,120,na,,0,4,1
NIGHTCLIFF,NT,810,2,Renewals,90,30,120,1/01/1961,54,1,4,1
MILLNER,NT,810,2,Acq,102,0,102,na,,1,4,1
MILLNER,NT,810,2,Acq,0,100,100,na,,1,4,1
TIWI,NT,810,2,Acq,99,0,99,31/03/1975,40,1,4,1
BRINKIN,NT,810,2,Acq,95,0,95,na,,0,4,1
COCONUT GROVE,NT,810,2,Acq,86.1,0,86.1,19/02/1942,73,1,4,1
COCONUT GROVE,NT,810,2,Acq,80,0,80,7/02/1943,72,0,4,1
NAKARA,NT,810,2,Renewals,75,0,75,na,,1,4,0
NIGHTCLIFF,NT,810,2,Acq,72,0,72,13/04/1965,50,1,4,0
WANGURI,NT,810,3,Acq,70,0,70,14/02/1964,51,1,4,0
RAPID CREEK,NT,810,2,Acq,14,50,64,29/10/1954,61,1,4,0
MOIL,NT,810,2,Acq,61.5,0,61.5,na,,0,4,0
CASUARINA,NT,810,2,Renewals,55.55,0,55.55,na,,1,4,0
