postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll,profitable
801,2,4,0.5,618.55,0,618.55,309.28,0,309.28,68.5,4,1,2,1
804,3,2.67,0,356.6,50,406.6,118.87,16.67,135.53,68.5,4,1,3,1
810,38,2.08,0.66,3782.75,349.25,4132,99.55,9.19,108.74,58.45,4,0.55,38,1
811,2,2,0.5,323,0,323,161.5,0,161.5,,4,1,2,1
812,21,2.33,0.76,1759.1,200,1959.1,83.77,9.52,93.29,64.18,4,0.62,21,1
813,1,2,1,155.7,0,155.7,155.7,0,155.7,,4,1,1,1
814,2,2,1,226.15,0,226.15,113.08,0,113.08,,4,1,2,1
820,17,2.65,0.82,2360.65,100,2460.65,138.86,5.88,144.74,67.56,4,0.65,17,1
822,1,1,0,52.9,0,52.9,52.9,0,52.9,,4,0,1,0
828,2,2,1,267,0,267,133.5,0,133.5,,4,1,2,1
830,18,2.17,0.5,1464.35,400,1864.35,81.35,22.22,103.58,51.7,4,0.61,18,1
831,1,1,0,10,0,10,10,0,10,,4,0,1,0
832,9,1.89,0.56,1706.35,57,1763.35,189.59,6.33,195.93,61.4,4,0.67,9,1
835,3,2.33,1,189.75,0,189.75,63.25,0,63.25,55,4,0.33,3,0
836,4,2.25,1,467.3,20,487.3,116.83,5,121.83,55.67,4,0.75,4,1
838,1,3,1,238,0,238,238,0,238,,4,1,1,1
839,1,2,0,238,0,238,238,0,238,71,4,1,1,1
841,1,2,1,0,50,50,0,50,50,71,4,0,1,0
845,2,2,1,211.05,0,211.05,105.53,0,105.53,66,4,0.5,2,1
850,2,2,1,305.65,0,305.65,152.83,0,152.83,29,4,0.5,2,1
851,2,2,0.5,218.7,20,238.7,109.35,10,119.35,73,4,0.5,2,1
860,1,3,0,203.3,0,203.3,203.3,0,203.3,68,4,1,1,1
870,38,2.05,0.61,3711,340,4051,97.66,8.95,106.61,60.52,4,0.66,38,1
871,8,2.5,0.63,832.95,0,832.95,104.12,0,104.12,56,4,0.63,8,1
880,3,2,1,125,100,225,41.67,33.33,75,48.5,4,0.33,3,0
881,6,4.67,0.17,1367.05,27.95,1395,227.84,4.66,232.5,76.8,4,1,6,1
1350,1,3,0,90,60,150,90,60,150,,4,1,1,1
1360,1,2,1,330,0,330,330,0,330,,4,1,1,1
1460,1,1,0,150,0,150,150,0,150,70,4,1,1,1
1499,1,1,0,42,0,42,42,0,42,46,4,0,1,0
1565,2,5,1,514,100,614,257,50,307,60.5,4,1,2,1
1570,1,1,0,100,0,100,100,0,100,69,4,1,1,1
1671,1,1,0,255,0,255,255,0,255,,4,1,1,1
1675,2,1,0,119,0,119,59.5,0,59.5,82,4,0,2,0
1680,1,1,0,50,0,50,50,0,50,,4,0,1,0
1710,1,1,1,125,0,125,125,0,125,,4,1,1,1
1755,3,1,0.33,479,0,479,159.67,0,159.67,71,4,1,3,1
1765,2,5.5,0.5,124,0,124,62,0,62,,4,0,2,0
