postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,age,weekends,profitable
801,2,Renewals,315,0,315,72,4,1
801,6,Acq,303.55,0,303.55,65,4,1
804,4,Renewals,250,0,250,80,4,1
804,2,Renewals,28.6,50,78.6,57,4,1
804,2,Renewals,78,0,78,,4,1
810,2,Acq,521.5,0,521.5,67,4,1
810,2,Acq,250,0,250,57,4,1
810,3,Acq,200,0,200,,4,1
810,4,Renewals,200,0,200,53,4,1
810,2,Renewals,200,0,200,,4,1
810,2,Acq,170,0,170,,4,1
810,2,Acq,140,0,140,59,4,1
810,2,Renewals,140,0,140,74,4,1
810,3,Renewals,135.45,0,135.45,58,4,1
810,2,Acq,114.2,20,134.2,55,4,1
810,2,Acq,126,0,126,46,4,1
810,2,Acq,123,0,123,,4,1
810,2,Acq,120,0,120,25,4,1
810,2,Renewals,39.75,80.25,120,,4,1
810,2,Renewals,90,30,120,54,4,1
810,2,Acq,102,0,102,,4,1
810,2,Acq,0,100,100,,4,1
810,2,Acq,99,0,99,40,4,1
810,2,Acq,95,0,95,,4,1
810,2,Acq,86.1,0,86.1,73,4,1
810,2,Acq,80,0,80,72,4,1
810,2,Renewals,75,0,75,,4,0
810,2,Acq,72,0,72,50,4,0
810,3,Acq,70,0,70,51,4,0
810,2,Acq,14,50,64,61,4,0
810,2,Acq,61.5,0,61.5,,4,0
810,2,Renewals,55.55,0,55.55,,4,0
810,2,Acq,55,0,55,41,4,0
810,2,Renewals,55,0,55,56,4,0
810,1,Acq,51.55,0,51.55,,4,0
810,2,Acq,51.15,0,51.15,83,4,0
810,2,Renewals,25,25,50,,4,0
810,2,Acq,46,0,46,79,4,0
810,2,Renewals,30,14,44,,4,0
810,1,Acq,37,0,37,,4,0
810,2,Acq,32,5,37,,4,0
810,2,Renewals,0,25,25,68,4,0
810,2,Renewals,20,0,20,64,4,0
811,2,Renewals,188,0,188,,4,1
811,2,Acq,135,0,135,,4,1
812,2,Renewals,205,0,205,48,4,1
812,2,Acq,150,50,200,72,4,1
812,2,Acq,0,150,150,,4,1
812,4,Renewals,137.3,0,137.3,80,4,1
812,3,Acq,137,0,137,66,4,1
812,2,Acq,116.7,0,116.7,,4,1
812,4,Renewals,108.45,0,108.45,71,4,1
812,1,Acq,108,0,108,54,4,1
812,2,Acq,100,0,100,,4,1
812,2,Acq,97,0,97,,4,1
812,2,Acq,86.5,0,86.5,60,4,1
812,3,Acq,83,0,83,,4,1
812,2,Renewals,81.6,0,81.6,75,4,1
