postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll
801,2,4.00,0.50,618.55,0.00,618.55,309.28,0.00,309.28,68.50,4,1.00,2
804,3,2.67,0.00,356.60,50.00,406.60,118.87,16.67,135.53,68.50,4,1.00,3
810,38,2.08,0.66,3782.75,349.25,4132.00,99.55,9.19,108.74,58.45,4,0.55,38
811,2,2.00,0.50,323.00,0.00,323.00,161.50,0.00,161.50,,4,1.00,2
812,21,2.33,0.76,1759.10,200.00,1959.10,83.77,9.52,93.29,64.18,4,0.62,21
813,1,2.00,1.00,155.70,0.00,155.70,155.70,0.00,155.70,,4,1.00,1
814,2,2.00,1.00,226.15,0.00,226.15,113.08,0.00,113.08,,4,1.00,2
820,17,2.65,0.82,2360.65,100.00,2460.65,138.86,5.88,144.74,67.56,4,0.65,17
822,1,1.00,0.00,52.90,0.00,52.90,52.90,0.00,52.90,,4,0.00,1
828,2,2.00,1.00,267.00,0.00,267.00,133.50,0.00,133.50,,4,1.00,2
830,18,2.17,0.50,1464.35,400.00,1864.35,81.35,22.22,103.58,51.70,4,0.61,18
831,1,1.00,0.00,10.00,0.00,10.00,10.00,0.00,10.00,,4,0.00,1
832,9,1.89,0.56,1706.35,57.00,1763.35,189.59,6.33,195.93,61.40,4,0.67,9
835,3,2.33,1.00,189.75,0.00,189.75,63.25,0.00,63.25,55.00,4,0.33,3
836,4,2.25,1.00,467.30,20.00,487.30,116.83,5.00,121.83,55.67,4,0.75,4
838,1,3.00,1.00,238.00,0.00,238.00,238.00,0.00,238.00,,4,1.00,1
839,1,2.00,0.00,238.00,0.00,238.00,238.00,0.00,238.00,71.00,4,1.00,1
841,1,2.00,1.00,0.00,50.00,50.00,0.00,50.00,50.00,71.00,4,0.00,1
845,2,2.00,1.00,211.05,0.00,211.05,105.53,0.00,105.53,66.00,4,0.50,2
850,2,2.00,1.00,305.65,0.00,305.65,152.83,0.00,152.83,29.00,4,0.50,2
851,2,2.00,0.50,218.70,20.00,238.70,109.35,10.00,119.35,73.00,4,0.50,2
860,1,3.00,0.00,203.30,0.00,203.30,203.30,0.00,203.30,68.00,4,1.00,1
870,38,2.05,0.61,3711.00,340.00,4051.00,97.66,8.95,106.61,60.52,4,0.66,38
871,8,2.50,0.63,832.95,0.00,832.95,104.12,0.00,104.12,56.00,4,0.63,8
880,3,2.00,1.00,125.00,100.00,225.00,41.67,33.33,75.00,48.50,4,0.33,3
881,6,4.67,0.17,1367.05,27.95,1395.00,227.84,4.66,232.50,76.80,4,1.00,6
1350,1,3.00,0.00,90.00,60.00,150.00,90.00,60.00,150.00,,4,1.00,1
1360,1,2.00,1.00,330.00,0.00,330.00,330.00,0.00,330.00,,4,1.00,1
1460,1,1.00,0.00,150.00,0.00,150.00,150.00,0.00,150.00,70.00,4,1.00,1
1499,1,1.00,0.00,42.00,0.00,42.00,42.00,0.00,42.00,46.00,4,0.00,1
1565,2,5.00,1.00,514.00,100.00,614.00,257.00,50.00,307.00,60.50,4,1.00,2
1570,1,1.00,0.00,100.00,0.00,100.00,100.00,0.00,100.00,69.00,4,1.00,1
1671,1,1.00,0.00,255.00,0.00,255.00,255.00,0.00,255.00,,4,1.00,1
1675,2,1.00,0.00,119.00,0.00,119.00,59.50,0.00,59.50,82.00,4,0.00,2
1680,1,1.00,0.00,50.00,0.00,50.00,50.00,0.00,50.00,,4,0.00,1
