,postcode,num_streets,age,weekends,profitable,prediction
0,810,2,67.0,4,1,1
1,810,2,57.0,4,1,1
2,810,4,53.0,4,1,1
3,810,2,59.0,4,1,1
4,810,2,74.0,4,1,1
5,810,3,58.0,4,1,1
6,810,2,55.0,4,1,1
7,810,2,46.0,4,1,1
8,810,2,25.0,4,1,1
9,810,2,54.0,4,1,1
10,810,2,40.0,4,1,1
11,810,2,73.0,4,1,1
12,810,2,72.0,4,1,1
13,810,2,50.0,4,0,0
14,810,3,51.0,4,0,0
15,810,2,61.0,4,0,0
16,810,2,41.0,4,0,0
17,810,2,56.0,4,0,0
18,810,2,83.0,4,0,0
19,810,2,79.0,4,0,0
20,810,2,68.0,4,0,0
21,810,2,64.0,4,0,0
22,812,2,48.0,4,1,1
23,812,2,72.0,4,1,1
24,812,4,80.0,4,1,1
25,812,3,66.0,4,1,1
26,812,4,71.0,4,1,1
27,812,1,54.0,4,1,1
28,812,2,60.0,4,1,1
29,812,2,75.0,4,1,1
30,812,2,46.0,4,0,0
31,812,4,73.0,4,0,0
32,812,2,61.0,4,0,0
33,820,2,41.0,4,1,1
34,820,4,57.0,4,1,1
35,820,4,72.0,4,1,1
36,820,2,77.0,4,1,1
37,820,4,68.0,4,1,1
38,820,2,76.0,4,1,1
39,820,2,81.0,4,1,1
40,820,2,58.0,4,0,0
41,820,2,78.0,4,0,0
42,830,2,48.0,4,1,1
43,830,3,72.0,4,1,1
44,830,2,49.0,4,1,1
45,830,2,60.0,4,1,1
46,830,2,61.0,4,1,1
47,830,2,70.0,4,1,1
48,830,2,39.0,4,0,0
49,830,2,35.0,4,0,0
50,830,3,63.0,4,0,0
51,830,2,20.0,4,0,0
52,832,1,88.0,4,1,1
53,832,2,34.0,4,1,1
54,832,3,53.0,4,1,1
55,832,2,77.0,4,0,0
56,832,1,55.0,4,0,0
57,835,2,55.0,4,0,0
58,836,3,46.0,4,1,1
59,836,2,54.0,4,1,1
60,836,2,67.0,4,1,1
61,841,2,71.0,4,0,0
62,845,2,66.0,4,1,1
63,850,2,29.0,4,0,0
64,860,3,68.0,4,1,1
65,870,3,52.0,4,1,1
66,870,2,57.0,4,1,0
67,870,2,68.0,4,1,1
68,870,2,64.0,4,1,1
69,870,2,52.0,4,1,1
70,870,2,43.0,4,1,1
71,870,2,67.0,4,1,1
72,870,2,73.0,4,1,1
73,870,3,57.0,4,1,1
74,870,2,60.0,4,1,1
75,870,2,52.0,4,1,1
76,870,2,85.0,4,1,1
77,870,2,59.0,4,1,1
78,870,2,56.0,4,1,1
79,870,2,61.0,4,1,1
80,870,2,53.0,4,0,0
81,870,2,70.0,4,0,0
82,870,2,64.0,4,0,0
83,870,2,70.0,4,0,0
84,870,2,59.0,4,0,0
85,870,2,46.0,4,0,0
86,870,2,57.0,4,0,0
87,870,2,67.0,4,0,0
88,880,2,59.0,4,1,1
89,880,2,38.0,4,0,0
90,2000,1,54.0,4,1,1
91,2000,1,80.0,4,1,1
92,2007,1,66.0,4,1,1
93,2008,1,45.0,4,0,0
94,2010,9,46.0,4,1,1
95,2010,1,50.0,4,1,1
96,2010,1,57.0,4,0,0
97,2010,1,36.0,4,0,0
98,2011,1,60.0,4,1,1
99,2015,1,62.0,4,1,1
100,2015,1,76.0,4,1,1
101,2015,1,64.0,4,0,0
102,2016,1,72.0,4,0,0
103,2016,9,71.0,4,0,0
104,2017,2,71.0,4,1,1
105,2017,9,69.0,4,1,1
106,2017,1,28.0,4,0,0
107,2017,9,35.0,4,0,0
108,2017,9,54.0,4,0,0
109,2017,9,81.0,4,0,0
110,2018,1,69.0,4,1,1
111,2018,1,61.0,4,1,1
112,2018,1,60.0,4,0,0
113,2018,1,76.0,4,0,0
114,2018,1,95.0,4,0,0
115,2018,9,68.0,4,0,0
116,2019,1,57.0,4,0,0
117,2019,1,43.0,4,0,0
118,2020,1,49.0,4,1,1
119,2020,9,60.0,4,1,1
120,2020,9,54.0,4,1,1
121,2020,1,58.0,4,1,1
122,2020,9,70.0,4,0,0
123,2020,1,41.0,4,0,0
124,2021,1,69.0,4,1,1
125,2021,1,61.0,4,1,1
126,2021,1,56.0,4,1,1
127,2021,1,66.0,4,1,0
128,2021,1,60.0,4,1,1
129,2021,1,69.0,4,1,1
