,age,num_streets,gender,Acq,postcode,avg salary,Median_Tot_fam_inc_weekly,avg gross tax paid,avg donation value,prediction,profitable
0,67.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
1,57.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
2,53.0,4,1,0.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
3,59.0,2,0,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
4,74.0,2,0,0.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
5,58.0,3,1,0.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
6,55.0,2,0,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
7,46.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
8,25.0,2,0,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
9,54.0,2,1,0.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
10,40.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
11,73.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
12,72.0,2,0,1.0,810,70174.69852,1959,16109.73683,377.4298208,1,1
13,50.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
14,51.0,3,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
15,61.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
16,41.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
17,56.0,2,1,0.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
18,83.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
19,79.0,2,1,1.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
20,68.0,2,1,0.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
21,64.0,2,0,0.0,810,70174.69852,1959,16109.73683,377.4298208,0,0
22,48.0,2,0,0.0,812,69415.30501,1969,15274.25469,283.6487245,1,1
23,72.0,2,0,1.0,812,69415.30501,1969,15274.25469,283.6487245,1,1
24,80.0,4,0,0.0,812,69415.30501,1969,15274.25469,283.6487245,1,1
25,66.0,3,0,1.0,812,69415.30501,1969,15274.25469,283.6487245,1,1
26,71.0,4,1,0.0,812,69415.30501,1969,15274.25469,283.6487245,1,1
27,54.0,1,0,1.0,812,69415.30501,1969,15274.25469,283.6487245,1,1
28,60.0,2,1,1.0,812,69415.30501,1969,15274.25469,283.6487245,1,1
29,75.0,2,1,0.0,812,69415.30501,1969,15274.25469,283.6487245,1,1
30,46.0,2,0,1.0,812,69415.30501,1969,15274.25469,283.6487245,0,0
31,73.0,4,1,1.0,812,69415.30501,1969,15274.25469,283.6487245,0,0
32,61.0,2,1,1.0,812,69415.30501,1969,15274.25469,283.6487245,0,0
33,41.0,2,1,1.0,820,77015.86339,2314,20760.58033,409.5887097,1,1
34,57.0,4,1,1.0,820,77015.86339,2314,20760.58033,409.5887097,1,1
35,72.0,4,1,1.0,820,77015.86339,2314,20760.58033,409.5887097,1,1
36,77.0,2,0,1.0,820,77015.86339,2314,20760.58033,409.5887097,1,1
37,68.0,4,1,1.0,820,77015.86339,2314,20760.58033,409.5887097,1,1
38,76.0,2,0,0.0,820,77015.86339,2314,20760.58033,409.5887097,1,1
39,81.0,2,0,0.0,820,77015.86339,2314,20760.58033,409.5887097,1,1
40,58.0,2,0,1.0,820,77015.86339,2314,20760.58033,409.5887097,0,0
41,78.0,2,1,1.0,820,77015.86339,2314,20760.58033,409.5887097,0,0
42,48.0,2,0,0.0,830,71260.41744,1909,15479.8804,268.3436312,1,1
43,72.0,3,0,0.0,830,71260.41744,1909,15479.8804,268.3436312,1,1
44,49.0,2,1,1.0,830,71260.41744,1909,15479.8804,268.3436312,1,1
45,60.0,2,1,1.0,830,71260.41744,1909,15479.8804,268.3436312,1,1
46,61.0,2,1,0.0,830,71260.41744,1909,15479.8804,268.3436312,1,1
47,70.0,2,1,0.0,830,71260.41744,1909,15479.8804,268.3436312,1,1
48,39.0,2,1,1.0,830,71260.41744,1909,15479.8804,268.3436312,0,0
49,35.0,2,1,0.0,830,71260.41744,1909,15479.8804,268.3436312,0,0
50,63.0,3,0,1.0,830,71260.41744,1909,15479.8804,268.3436312,0,0
51,20.0,2,0,0.0,830,71260.41744,1909,15479.8804,268.3436312,0,0
52,88.0,1,0,0.0,832,75603.31895,2138,17044.26096,237.4852785,1,1
53,34.0,2,1,1.0,832,75603.31895,2138,17044.26096,237.4852785,1,1
54,53.0,3,1,0.0,832,75603.31895,2138,17044.26096,237.4852785,1,1
55,77.0,2,1,1.0,832,75603.31895,2138,17044.26096,237.4852785,0,0
56,55.0,1,0,0.0,832,75603.31895,2138,17044.26096,237.4852785,0,0
57,55.0,2,1,1.0,835,76117.25214,2102,19160.96906,319.9080882,0,0
58,46.0,3,1,1.0,836,76208.36337,2108,17616.23654,239.156228,1,1
59,54.0,2,1,1.0,836,76208.36337,2108,17616.23654,239.156228,1,1
60,67.0,2,0,1.0,836,76208.36337,2108,17616.23654,239.156228,1,1
61,71.0,2,0,1.0,841,72563.32189,1636,15710.46185,243.4368932,0,0
62,66.0,2,1,1.0,845,63829.14575,1343,12701.35472,394.3529412,1,1
63,29.0,2,1,1.0,850,62357.34613,1724,13168.59826,334.6340426,0,0
64,68.0,3,0,0.0,860,67010.99704,1428,13763.76286,367.0950704,1,1
65,52.0,3,1,0.0,870,64164.21201,1971,13837.19142,461.3562047,1,1
66,57.0,2,1,1.0,870,64164.21201,1971,13837.19142,461.3562047,0,1
67,68.0,2,1,0.0,870,64164.21201,1971,13837.19142,461.3562047,1,1
68,64.0,2,0,0.0,870,64164.21201,1971,13837.19142,461.3562047,1,1
69,52.0,2,1,1.0,870,64164.21201,1971,13837.19142,461.3562047,1,1
70,43.0,2,1,0.0,870,64164.21201,1971,13837.19142,461.3562047,1,1
71,67.0,2,0,1.0,870,64164.21201,1971,13837.19142,461.3562047,1,1
