,num_streets,age,Acq,avg donation value,profitable,cluster,avg income,collection_amount,donation_amount,total_received,postcode
0,2,67.0,1.0,377.4298208,1,0,75201.57679,521.5,0.0,521.5,801
1,2,57.0,1.0,377.4298208,1,0,75201.57679,250.0,0.0,250.0,801
2,4,53.0,0.0,377.4298208,1,0,75201.57679,200.0,0.0,200.0,804
3,2,59.0,1.0,377.4298208,1,0,75201.57679,140.0,0.0,140.0,804
4,2,74.0,0.0,377.4298208,1,0,75201.57679,140.0,0.0,140.0,
5,3,58.0,0.0,377.4298208,1,0,75201.57679,135.45,0.0,135.45,810
6,2,55.0,1.0,377.4298208,1,0,75201.57679,114.2,20.0,134.2,810
7,2,46.0,1.0,377.4298208,1,0,75201.57679,126.0,0.0,126.0,
8,2,25.0,1.0,377.4298208,1,0,75201.57679,120.0,0.0,120.0,810
9,2,54.0,0.0,377.4298208,1,0,75201.57679,90.0,30.0,120.0,
10,2,40.0,1.0,377.4298208,1,0,75201.57679,99.0,0.0,99.0,
11,2,73.0,1.0,377.4298208,1,0,75201.57679,86.1,0.0,86.1,810
12,2,72.0,1.0,377.4298208,1,0,75201.57679,80.0,0.0,80.0,810
13,2,50.0,1.0,377.4298208,0,0,75201.57679,72.0,0.0,72.0,810
14,3,51.0,1.0,377.4298208,0,0,75201.57679,70.0,0.0,70.0,810
15,2,61.0,1.0,377.4298208,0,0,75201.57679,14.0,50.0,64.0,810
16,2,41.0,1.0,377.4298208,0,0,75201.57679,55.0,0.0,55.0,
17,2,56.0,0.0,377.4298208,0,0,75201.57679,55.0,0.0,55.0,810
18,2,83.0,1.0,377.4298208,0,0,75201.57679,51.15,0.0,51.15,
19,2,79.0,1.0,377.4298208,0,0,75201.57679,46.0,0.0,46.0,810
20,2,68.0,0.0,377.4298208,0,0,75201.57679,0.0,25.0,25.0,
21,2,64.0,0.0,377.4298208,0,0,75201.57679,20.0,0.0,20.0,
22,2,48.0,0.0,283.6487245,1,4,73118.01099,205.0,0.0,205.0,810
23,2,72.0,1.0,283.6487245,1,4,73118.01099,150.0,50.0,200.0,
24,4,80.0,0.0,283.6487245,1,4,73118.01099,137.3,0.0,137.3,810
25,3,66.0,1.0,283.6487245,1,4,73118.01099,137.0,0.0,137.0,810
26,4,71.0,0.0,283.6487245,1,4,73118.01099,108.45,0.0,108.45,
27,1,54.0,1.0,283.6487245,1,4,73118.01099,108.0,0.0,108.0,810
28,2,60.0,1.0,283.6487245,1,4,73118.01099,86.5,0.0,86.5,810
29,2,75.0,0.0,283.6487245,1,4,73118.01099,81.6,0.0,81.6,810
30,2,46.0,1.0,283.6487245,0,4,73118.01099,50.0,0.0,50.0,
31,4,73.0,1.0,283.6487245,0,4,73118.01099,35.0,0.0,35.0,
32,2,61.0,1.0,283.6487245,0,4,73118.01099,6.35,0.0,6.35,810
33,2,41.0,1.0,409.5887097,1,0,87489.84599,319.0,0.0,319.0,810
34,4,57.0,1.0,409.5887097,1,0,87489.84599,194.0,0.0,194.0,
35,4,72.0,1.0,409.5887097,1,0,87489.84599,191.9,0.0,191.9,810
36,2,77.0,1.0,409.5887097,1,0,87489.84599,160.0,0.0,160.0,
37,4,68.0,1.0,409.5887097,1,0,87489.84599,150.0,0.0,150.0,810
38,2,76.0,0.0,409.5887097,1,0,87489.84599,0.0,100.0,100.0,
39,2,81.0,0.0,409.5887097,1,0,87489.84599,100.0,0.0,100.0,
40,2,58.0,1.0,409.5887097,0,0,87489.84599,75.0,0.0,75.0,
41,2,78.0,1.0,409.5887097,0,0,87489.84599,70.0,0.0,70.0,810
42,2,48.0,0.0,268.3436312,1,4,74124.8954,186.15,0.0,186.15,810
43,3,72.0,0.0,268.3436312,1,4,74124.8954,0.0,150.0,150.0,
44,2,49.0,1.0,268.3436312,1,4,74124.8954,103.5,0.0,103.5,
45,2,60.0,1.0,268.3436312,1,4,74124.8954,100.0,0.0,100.0,812
46,2,61.0,0.0,268.3436312,1,4,74124.8954,83.3,0.0,83.3,812
47,2,70.0,0.0,268.3436312,1,4,74124.8954,79.2,0.0,79.2,
48,2,39.0,1.0,268.3436312,0,4,74124.8954,56.05,0.0,56.05,812
49,2,35.0,0.0,268.3436312,0,4,74124.8954,50.0,0.0,50.0,812
50,3,63.0,1.0,268.3436312,0,4,74124.8954,30.0,0.0,30.0,
51,2,20.0,0.0,268.3436312,0,4,74124.8954,30.0,0.0,30.0,812
52,1,88.0,0.0,237.4852785,1,4,78607.22006,685.05,0.0,685.05,812
53,2,34.0,1.0,237.4852785,1,4,78607.22006,176.0,0.0,176.0,
54,3,53.0,0.0,237.4852785,1,4,78607.22006,123.0,27.0,150.0,
55,2,77.0,1.0,237.4852785,0,4,78607.22006,0.0,30.0,30.0,812
56,1,55.0,0.0,237.4852785,0,4,78607.22006,25.0,0.0,25.0,
57,2,55.0,1.0,319.9080882,0,4,83631.26382,30.0,0.0,30.0,812
58,3,46.0,1.0,239.156228,1,4,79865.39459,230.3,0.0,230.3,
59,2,54.0,1.0,239.156228,1,4,79865.39459,112.0,20.0,132.0,
60,2,67.0,1.0,239.156228,1,4,79865.39459,80.0,0.0,80.0,
61,2,71.0,1.0,243.4368932,0,4,74351.24498,0.0,50.0,50.0,812
