,postcode,num_streets,age,Acq,weekends,profitable,cluster,avg income
0,810,2,67.0,1.0,4,1,3,75201.57679
1,810,2,57.0,1.0,4,1,3,75201.57679
2,810,4,53.0,0.0,4,1,3,75201.57679
3,810,2,59.0,1.0,4,1,3,75201.57679
4,810,2,74.0,0.0,4,1,3,75201.57679
5,810,3,58.0,0.0,4,1,3,75201.57679
6,810,2,55.0,1.0,4,1,3,75201.57679
7,810,2,46.0,1.0,4,1,3,75201.57679
8,810,2,25.0,1.0,4,1,3,75201.57679
9,810,2,54.0,0.0,4,1,3,75201.57679
10,810,2,40.0,1.0,4,1,3,75201.57679
11,810,2,73.0,1.0,4,1,3,75201.57679
12,810,2,72.0,1.0,4,1,3,75201.57679
13,810,2,50.0,1.0,4,0,3,75201.57679
14,810,3,51.0,1.0,4,0,3,75201.57679
15,810,2,61.0,1.0,4,0,3,75201.57679
16,810,2,41.0,1.0,4,0,3,75201.57679
17,810,2,56.0,0.0,4,0,3,75201.57679
18,810,2,83.0,1.0,4,0,3,75201.57679
19,810,2,79.0,1.0,4,0,3,75201.57679
20,810,2,68.0,0.0,4,0,3,75201.57679
21,810,2,64.0,0.0,4,0,3,75201.57679
22,812,2,48.0,0.0,4,1,2,73118.01099
23,812,2,72.0,1.0,4,1,2,73118.01099
24,812,4,80.0,0.0,4,1,2,73118.01099
25,812,3,66.0,1.0,4,1,2,73118.01099
26,812,4,71.0,0.0,4,1,2,73118.01099
27,812,1,54.0,1.0,4,1,2,73118.01099
28,812,2,60.0,1.0,4,1,2,73118.01099
29,812,2,75.0,0.0,4,1,2,73118.01099
30,812,2,46.0,1.0,4,0,2,73118.01099
31,812,4,73.0,1.0,4,0,2,73118.01099
32,812,2,61.0,1.0,4,0,2,73118.01099
33,820,2,41.0,1.0,4,1,3,87489.84599
34,820,4,57.0,1.0,4,1,3,87489.84599
35,820,4,72.0,1.0,4,1,3,87489.84599
36,820,2,77.0,1.0,4,1,3,87489.84599
37,820,4,68.0,1.0,4,1,3,87489.84599
38,820,2,76.0,0.0,4,1,3,87489.84599
39,820,2,81.0,0.0,4,1,3,87489.84599
40,820,2,58.0,1.0,4,0,3,87489.84599
41,820,2,78.0,1.0,4,0,3,87489.84599
42,830,2,48.0,0.0,4,1,2,74124.8954
43,830,3,72.0,0.0,4,1,2,74124.8954
44,830,2,49.0,1.0,4,1,2,74124.8954
45,830,2,60.0,1.0,4,1,2,74124.8954
46,830,2,61.0,0.0,4,1,2,74124.8954
47,830,2,70.0,0.0,4,1,2,74124.8954
48,830,2,39.0,1.0,4,0,2,74124.8954
49,830,2,35.0,0.0,4,0,2,74124.8954
50,830,3,63.0,1.0,4,0,2,74124.8954
51,830,2,20.0,0.0,4,0,2,74124.8954
52,832,1,88.0,0.0,4,1,2,78607.22006
53,832,2,34.0,1.0,4,1,2,78607.22006
54,832,3,53.0,0.0,4,1,2,78607.22006
55,832,2,77.0,1.0,4,0,2,78607.22006
56,832,1,55.0,0.0,4,0,2,78607.22006
57,835,2,55.0,1.0,4,0,2,83631.26382
58,836,3,46.0,1.0,4,1,2,79865.39459
59,836,2,54.0,1.0,4,1,2,79865.39459
60,836,2,67.0,1.0,4,1,2,79865.39459
61,841,2,71.0,1.0,4,0,2,74351.24498
62,845,2,66.0,1.0,4,1,2,66315.58491
63,850,2,29.0,1.0,4,0,2,66888.91701
64,860,3,68.0,0.0,4,1,2,70849.32143
65,870,3,52.0,0.0,4,1,3,68752.56318
66,870,2,57.0,1.0,4,1,3,68752.56318
67,870,2,68.0,0.0,4,1,3,68752.56318
68,870,2,64.0,0.0,4,1,3,68752.56318
69,870,2,52.0,1.0,4,1,3,68752.56318
70,870,2,43.0,0.0,4,1,3,68752.56318
71,870,2,67.0,1.0,4,1,3,68752.56318
72,870,2,73.0,0.0,4,1,3,68752.56318
73,870,3,57.0,1.0,4,1,3,68752.56318
74,870,2,60.0,1.0,4,1,3,68752.56318
75,870,2,52.0,1.0,4,1,3,68752.56318
76,870,2,85.0,1.0,4,1,3,68752.56318
77,870,2,59.0,1.0,4,1,3,68752.56318
78,870,2,56.0,1.0,4,1,3,68752.56318
79,870,2,61.0,1.0,4,1,3,68752.56318
80,870,2,53.0,0.0,4,0,3,68752.56318
81,870,2,70.0,1.0,4,0,3,68752.56318
82,870,2,64.0,1.0,4,0,3,68752.56318
83,870,2,70.0,1.0,4,0,3,68752.56318
84,870,2,59.0,1.0,4,0,3,68752.56318
85,870,2,46.0,1.0,4,0,3,68752.56318
86,870,2,57.0,1.0,4,0,3,68752.56318
87,870,2,67.0,1.0,4,0,3,68752.56318
88,880,2,59.0,1.0,4,1,2,88342.398
89,880,2,38.0,1.0,4,0,2,88342.398
90,2000,1,54.0,1.0,4,1,4,90029.27358
91,2000,1,80.0,1.0,4,1,4,90029.27358
92,2007,1,66.0,1.0,4,1,2,68641.78439
93,2008,1,45.0,1.0,4,0,2,72288.16173
94,2010,9,46.0,1.0,4,1,0,97212.71674
95,2010,1,50.0,1.0,4,1,0,97212.71674
96,2010,1,57.0,1.0,4,0,0,97212.71674
97,2010,1,36.0,1.0,4,0,0,97212.71674
98,2011,1,60.0,0.0,4,1,4,111004.6112
99,2015,1,62.0,0.0,4,1,2,84749.62658
100,2015,1,76.0,1.0,4,1,2,84749.62658
101,2015,1,64.0,1.0,4,0,2,84749.62658
102,2016,1,72.0,0.0,4,0,3,82890.14904
103,2016,9,71.0,1.0,4,0,3,82890.14904
104,2017,2,71.0,0.0,4,1,2,77156.78509
105,2017,9,69.0,1.0,4,1,2,77156.78509
106,2017,1,28.0,0.0,4,0,2,77156.78509
107,2017,9,35.0,1.0,4,0,2,77156.78509
108,2017,9,54.0,1.0,4,0,2,77156.78509
109,2017,9,81.0,1.0,4,0,2,77156.78509
110,2018,1,69.0,0.0,4,1,2,67812.56919
111,2018,1,61.0,1.0,4,1,2,67812.56919
112,2018,1,60.0,1.0,4,0,2,67812.56919
113,2018,1,76.0,0.0,4,0,2,67812.56919
114,2018,1,95.0,1.0,4,0,2,67812.56919
115,2018,9,68.0,1.0,4,0,2,67812.56919
116,2019,1,57.0,0.0,4,0,2,74286.23297
117,2019,1,43.0,0.0,4,0,2,74286.23297
118,2020,1,49.0,1.0,4,1,2,68660.91619
119,2020,9,60.0,1.0,4,1,2,68660.91619
120,2020,9,54.0,1.0,4,1,2,68660.91619
121,2020,1,58.0,0.0,4,1,2,68660.91619
122,2020,9,70.0,1.0,4,0,2,68660.91619
123,2020,1,41.0,1.0,4,0,2,68660.91619
124,2021,1,69.0,1.0,4,1,0,139050.2839
125,2021,1,61.0,0.0,4,1,0,139050.2839
126,2021,1,56.0,0.0,4,1,0,139050.2839
127,2021,1,66.0,0.0,4,1,0,139050.2839
128,2021,1,60.0,1.0,4,1,0,139050.2839
129,2021,1,69.0,1.0,4,1,0,139050.2839
130,2021,1,70.0,0.0,4,1,0,139050.2839
131,2021,1,64.0,0.0,4,0,0,139050.2839
132,2021,1,66.0,0.0,4,0,0,139050.2839
133,2021,1,16.0,1.0,4,0,0,139050.2839
134,2021,1,63.0,1.0,4,0,0,139050.2839
135,2022,1,77.0,0.0,4,1,3,101789.9633
136,2022,1,69.0,1.0,4,1,3,101789.9633
137,2022,9,72.0,1.0,4,1,3,101789.9633
