,avg tax income,avg income,avg gross tax paid,avg salary,Median_Tot_hhd_inc_weekly,postcode,Median_Tot_fam_inc_weekly,avg net tax paid,High_yr_schl_comp_Yr_11_eq_F,prediction,profitable
0,72332.05379,75201.57679,16109.73683,70174.69852,1721,810,1959,16251.42109,1246,1,1
1,70571.93514,73118.01099,15274.25469,69415.30501,1795,812,1969,15313.32146,1000,1,1
2,84160.95487,87489.84599,20760.58033,77015.86339,1963,820,2314,21078.48782,757,1,1
3,71291.49362,74124.8954,15479.8804,71260.41744,1692,830,1909,15614.84947,972,1,1
4,75671.92639,78607.22006,17044.26096,75603.31895,2030,832,2138,17325.3358,578,1,1
5,80743.81995,83631.26382,19160.96906,76117.25214,1910,835,2102,19335.58672,259,0,0
6,76981.05545,79865.39459,17616.23654,76208.36337,1906,836,2108,17751.41039,399,1,1
7,71721.16064,74351.24498,15710.46185,72563.32189,1125,841,1636,15640.55422,44,0,0
8,63249.4,66315.58491,12701.35472,63829.14575,886,845,1343,12321.4,20,1,1
9,64606.54167,66888.91701,13168.59826,62357.34613,1459,850,1724,13123.67986,348,1,1
10,66437.70143,70849.32143,13763.76286,67010.99704,1392,860,1428,13236.75286,123,1,1
11,66100.15483,68752.56318,13837.19142,64164.21201,1692,870,1971,13918.18565,1265,1,1
12,85724.256,88342.398,21175.45491,82868.71339,2404,880,2271,20378.248,197,0,0
13,86644.86732,90029.27358,24659.51217,68324.53158,1422,2000,1623,25191.05838,267,1,1
14,66089.59117,68641.78439,14423.00256,63406.80715,1099,2007,1555,14893.98017,84,1,1
15,69572.54394,72288.16173,15560.21641,65432.7524,1459,2008,1977,16122.42747,73,0,0
16,93319.31069,97212.71674,24859.08531,83607.30431,1796,2010,2545,25754.20411,283,0,0
17,106234.2958,111004.6112,30327.99718,87041.84259,1523,2011,2494,31234.8148,291,1,1
18,81095.37875,84749.62658,19394.31099,78642.97207,2053,2015,2469,20222.3561,149,1,1
19,79465.95438,82890.14904,19138.20623,73037.29836,1447,2016,2141,19846.53773,165,1,1
20,73606.7865,77156.78509,16627.23564,72972.70994,1184,2017,1836,17355.39173,206,1,1
21,64750.03044,67812.56919,13555.18729,64027.76782,1197,2018,1362,14048.63488,243,0,0
22,70819.76172,74286.23297,15641.17537,69395.84363,1626,2019,1905,16165.77382,181,1,1
